estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
aeroparque_aero,CAPITAL FEDERAL,Pampeana,SABE,-34.5500,-58.4167,6.0000,87582.0000,3.0000,0.1572,7.5000,5.9250,4.5000,0.9314,71.1000,11.3000,0.0529,76.4000,71.4417,65.1000,3.7802,857.3000,1.1000,0.1123,4.2000,3.6250,3.1000,0.4070,43.5000,62.9000,0.2529,117.5000,92.2417,54.6000,23.3298,1106.9000,13.2000,0.2625,24.5000,18.0500,11.3000,4.7383,216.6000,14.0000,0.2304,28.4000,21.6083,14.4000,4.9780,259.3000,12.4000,0.3025,20.8000,14.7250,8.4000,4.4540,176.7000,1405.9130,1316.8187,-23.0859,23.4498,14.2757,9.6829,11.4641,57.9998
azul_aero,BUENOS AIRES,Pampeana,SAZA,-36.8167,-59.8833,147.0000,87641.0000,3.9000,0.2332,7.3000,5.5583,3.4000,1.2965,66.7000,17.9000,0.0772,81.4000,74.1000,63.5000,5.7225,889.2000,1.0000,0.0991,4.2000,3.7333,3.2000,0.3701,44.8000,76.8000,0.3301,113.9000,77.9583,37.1000,25.7374,935.5000,14.7000,0.3740,21.6000,14.1167,6.9000,5.2796,169.4000,16.3000,0.2729,29.5000,21.1667,13.2000,5.7768,254.0000,12.2000,0.5673,14.0000,7.7917,1.8000,4.4199,93.5000,1405.9130,1316.8187,-23.0859,23.4498,14.4809,9.4737,13.7308,60.2664
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,-38.7000,-62.1500,83.0000,87750.0000,3.2000,0.1973,6.7000,4.9750,3.5000,0.9818,59.7000,23.2000,0.1186,75.2000,64.6417,52.0000,7.6662,775.7000,1.2000,0.1163,4.1000,3.5750,2.9000,0.4159,42.9000,38.9000,0.2962,70.6000,53.2583,31.7000,15.7777,639.1000,16.0000,0.3697,23.6000,15.4083,7.6000,5.6962,184.9000,17.3000,0.2758,31.2000,22.4250,13.9000,6.1846,269.1000,13.9000,0.5300,16.3000,9.2417,2.4000,4.8985,110.9000,1405.9130,1316.8187,-23.0859,23.4498,14.6623,9.2886,15.6141,62.1498
bariloche_aero,RIO NEGRO,Patagonia,SAZS,-41.1333,-71.1500,835.0000,87765.0000,10.8000,0.5631,13.3000,6.8167,2.5000,3.8388,81.8000,27.2000,0.1569,79.1000,65.0167,51.9000,10.2024,780.2000,2.7000,0.2230,5.4000,4.0083,2.7000,0.8939,48.1000,150.8000,0.7443,168.3000,67.7083,17.5000,50.3945,812.5000,13.3000,0.5706,15.4000,8.4583,2.1000,4.8263,101.5000,16.5000,0.4058,23.2000,14.9333,6.7000,6.0604,179.2000,8.6000,1.2221,7.0000,2.5167,-1.6000,3.0757,30.2000,1405.9130,1316.8187,-23.0859,23.4498,14.9141,9.0317,18.0474,64.5831
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,-77.8667,-34.6167,256.0000,89034.0000,0.8800,0.0847,4.5400,4.2900,3.6600,0.3632,51.4800,9.4600,0.0319,86.4000,84.5650,76.9400,2.6977,1014.7800,1.5000,0.1007,5.4000,4.6083,3.9000,0.4641,55.3000,12.8000,0.1539,42.7800,34.0283,29.9800,5.2374,408.3400,18.3000,-0.5120,-2.6000,-13.2167,-20.9000,6.7667,-158.6000,18.3000,-0.6983,0.8000,-9.7500,-17.5000,6.8086,-117.0000,18.9000,-0.3952,-6.1000,-17.3833,-25.0000,6.8695,-208.6000,1405.9130,1316.8187,-23.0859,23.4498,24.0000,0.0000,54.7808,101.3164
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,-62.2333,-58.6500,11.0000,89053.0000,0.9400,0.0353,8.6200,8.1933,7.6800,0.2889,98.3200,4.9400,0.0151,87.6000,85.2850,82.6600,1.2872,1023.4200,0.7000,0.0368,7.1000,6.7750,6.4000,0.2491,81.3000,7.0800,0.0625,41.7400,37.6800,34.6600,2.3551,452.1600,8.0000,-1.7699,2.2000,-1.6500,-5.8000,2.9203,-19.8000,7.3000,4.2382,4.3000,0.6167,-3.0000,2.6135,7.4000,9.4000,-0.8502,0.4000,-4.0167,-9.0000,3.4149,-48.2000,1405.9130,1316.8187,-23.0859,23.4498,19.2074,4.6033,39.1474,85.6831
base_esperanza,ANTARTIDA,Antártida,SAYE,-63.3833,-56.9833,24.0000,88963.0000,2.3400,0.1045,7.9400,7.1467,5.6000,0.7467,85.7600,5.6200,0.0260,85.0200,82.9667,79.4000,2.1540,995.6000,1.2000,0.0646,6.3000,5.6917,5.1000,0.3679,68.3000,10.9400,0.1014,39.5200,33.7300,28.5800,3.4190,404.7600,12.3000,-1.0045,1.5000,-4.5250,-10.8000,4.5456,-54.3000,10.7000,-4.9045,4.3000,-0.8083,-6.4000,3.9645,-9.7000,13.8000,-0.6366,-1.2000,-7.9750,-15.0000,5.0769,-95.7000,1405.9130,1316.8187,-23.0859,23.4498,19.7699,4.0066,40.2974,86.8331
base_marambio,ANTARTIDA,Antártida,SAWB,-64.2333,-56.6167,198.0000,89055.0000,1.8600,0.0637,8.6200,7.6133,6.7600,0.4848,91.3600,7.5400,0.0260,90.2000,85.0167,82.6600,2.2079,1020.2000,1.8000,0.1110,6.6000,5.6833,4.8000,0.6308,68.2000,12.9400,0.0931,41.7400,34.4633,28.8000,3.2097,413.5600,14.1000,-0.6706,-0.8000,-8.0167,-14.9000,5.3758,-96.2000,12.4000,-1.0644,1.7000,-4.3333,-10.7000,4.6125,-52.0000,16.3000,-0.5372,-3.0000,-11.4500,-19.3000,6.1513,-137.4000,1405.9130,1316.8187,-23.0859,23.4498,20.2682,3.4695,41.1474,87.6831
base_orcadas,ANTARTIDA,Antártida,SAYO,-60.7333,-44.7333,12.0000,88968.0000,1.6400,0.1149,6.1400,5.2250,4.5000,0.6002,62.7000,2.1000,0.0083,88.0000,87.1683,85.9000,0.7253,1046.0200,1.3000,0.0627,7.5000,6.9500,6.2000,0.4359,83.4000,10.5800,0.0939,42.5400,37.8717,31.9600,3.5577,454.4600,10.8000,-1.2537,1.4000,-3.1000,-9.4000,3.8863,-37.2000,8.9000,-27.5933,3.6000,-0.1167,-5.3000,3.2192,-1.4000,13.7000,-0.7980,-0.4000,-6.1167,-14.1000,4.8813,-73.4000,1405.9130,1316.8187,-23.0859,23.4498,18.6022,5.2378,37.6474,84.1831
base_san_martin,ANTARTIDA,Antártida,SAYS,-68.1167,-67.1000,7.0000,89066.0000,1.2600,0.0481,8.6200,7.9900,7.3600,0.3842,95.8800,11.4600,0.0464,82.6600,78.0350,71.2000,3.6225,936.4200,1.3000,0.0690,6.5000,6.0667,5.2000,0.4185,72.8000,8.8600,0.0853,41.7400,36.4617,32.8800,3.1117,437.5400,13.4000,-1.1046,1.9000,-4.3750,-11.5000,4.8325,-52.5000,11.8000,-3.6645,4.5000,-1.1417,-7.3000,4.1836,-13.7000,15.8000,-0.7315,-0.5000,-7.9250,-16.3000,5.7969,-95.1000,1405.9130,1316.8187,-23.0859,23.4498,24.0000,0.0000,45.0308,91.5664
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,-26.2667,-53.6667,815.0000,87163.0000,5.5000,0.1866,12.0000,9.4333,6.5000,1.7603,113.2000,12.4000,0.0505,79.8000,75.4583,67.4000,3.8097,905.5000,1.3000,0.0797,5.3000,4.7417,4.0000,0.3777,56.9000,171.5000,0.2195,277.9000,187.4667,106.4000,41.1551,2249.6000,8.0000,0.1535,22.9000,19.2750,14.9000,2.9588,231.3000,8.8000,0.1325,28.1000,24.2250,19.3000,3.2105,290.7000,7.8000,0.1819,19.0000,15.3833,11.2000,2.7983,184.6000,1405.9130,1316.8187,-23.0859,23.4498,13.6191,10.3519,3.1808,49.7164
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,-36.1833,-61.0667,94.0000,87640.0000,4.5000,0.2720,8.0000,5.8333,3.5000,1.5865,70.0000,15.8000,0.0688,81.8000,74.7833,66.0000,5.1437,897.4000,0.9000,0.0977,4.2000,3.7417,3.3000,0.3655,44.9000,97.6000,0.4086,133.0000,84.8417,35.4000,34.6628,1018.1000,15.0000,0.3556,22.3000,14.9917,7.3000,5.3304,179.9000,15.8000,0.2564,29.6000,21.9333,13.8000,5.6229,263.2000,13.0000,0.5249,15.0000,8.7583,2.0000,4.5971,105.1000,1405.9130,1316.8187,-23.0859,23.4498,14.4222,9.5335,13.0974,59.6331
buenos_aires_observatorio,CAPITAL FEDERAL,Pampeana,SABA,-34.5833,-58.4833,25.0000,87585.0000,3.0000,0.1640,7.9000,6.3750,4.9000,1.0454,76.5000,15.9000,0.0758,78.7000,71.2333,62.8000,5.3962,854.8000,1.1000,0.1152,4.3000,3.7083,3.2000,0.4274,44.5000,72.9000,0.2553,134.4000,104.8000,61.5000,26.7578,1257.6000,13.9000,0.2724,24.9000,18.0833,11.0000,4.9252,217.0000,14.6000,0.2258,30.1000,22.9750,15.5000,5.1881,275.7000,12.7000,0.3275,20.2000,13.8250,7.5000,4.5281,165.9000,1405.9130,1316.8187,-23.0859,23.4498,14.2786,9.6799,11.4974,58.0331
catamarca_aero,CATAMARCA,NOA,SANC,-28.5833,-65.7500,464.0000,87222.0000,6.4000,0.6424,7.0000,3.5167,0.6000,2.2591,42.2000,26.0000,0.1679,66.5000,54.7167,40.5000,9.1856,656.6000,1.1000,0.1261,3.5000,3.1000,2.4000,0.3908,37.2000,78.0000,0.8654,80.9000,34.2583,2.9000,29.6474,411.1000,16.1000,0.2792,27.8000,21.0417,11.7000,5.8754,252.5000,14.4000,0.1859,34.6000,28.3750,20.2000,5.2754,340.5000,17.4000,0.4352,21.9000,14.5833,4.5000,6.3468,175.0000,1405.9130,1316.8187,-23.0859,23.4498,13.7905,10.1773,5.4974,52.0331
